xcelium> 
xcelium> run
===============================================================================================
       A              B            Cin  | Mode  | Exact Sum  | Approx Sum  | Error | Error %
===============================================================================================
0000000000000000 0000000000000000   0   |  00   |       0    |        X    |     x |   0.00%
0000000000000000 0000000000000000   0   |  01   |       0    |        0    |     0 |   0.00%
0000000000000000 0000000000000000   0   |  10   |       0    |        0    |     0 |   0.00%
0000000000000000 0000000000000000   0   |  11   |       0    |        0    |     0 |   0.00%
0000000000000000 0000000000000000   1   |  00   |       1    |        1    |     0 |   0.00%
0000000000000000 0000000000000000   1   |  01   |       1    |        1    |     0 |   0.00%
0000000000000000 0000000000000000   1   |  10   |       1    |        0    |     1 | 100.00%
0000000000000000 0000000000000000   1   |  11   |       1    |        0    |     1 | 100.00%
0000000000000000 0000000000000001   0   |  00   |       1    |        1    |     0 |   0.00%
0000000000000000 0000000000000001   0   |  01   |       1    |        1    |     0 |   0.00%
0000000000000000 0000000000000001   0   |  10   |       1    |        1    |     0 |   0.00%
0000000000000000 0000000000000001   0   |  11   |       1    |        1    |     0 |   0.00%
0000000000000000 0000000000000001   1   |  00   |       2    |        2    |     0 |   0.00%
0000000000000000 0000000000000001   1   |  01   |       2    |        2    |     0 |   0.00%
0000000000000000 0000000000000001   1   |  10   |       2    |        1    |     1 |  50.00%
0000000000000000 0000000000000001   1   |  11   |       2    |        1    |     1 |  50.00%
0000000000000000 0000000000000002   0   |  00   |       2    |        2    |     0 |   0.00%
0000000000000000 0000000000000002   0   |  01   |       2    |        2    |     0 |   0.00%
0000000000000000 0000000000000002   0   |  10   |       2    |        2    |     0 |   0.00%
0000000000000000 0000000000000002   0   |  11   |       2    |        2    |     0 |   0.00%
0000000000000000 0000000000000002   1   |  00   |       3    |        3    |     0 |   0.00%
0000000000000000 0000000000000002   1   |  01   |       3    |        3    |     0 |   0.00%
0000000000000000 0000000000000002   1   |  10   |       3    |        2    |     1 |  33.33%
0000000000000000 0000000000000002   1   |  11   |       3    |        2    |     1 |  33.33%
0000000000000000 0000000000000003   0   |  00   |       3    |        3    |     0 |   0.00%
0000000000000000 0000000000000003   0   |  01   |       3    |        3    |     0 |   0.00%
0000000000000000 0000000000000003   0   |  10   |       3    |        3    |     0 |   0.00%
0000000000000000 0000000000000003   0   |  11   |       3    |        3    |     0 |   0.00%
0000000000000000 0000000000000003   1   |  00   |       4    |        4    |     0 |   0.00%
0000000000000000 0000000000000003   1   |  01   |       4    |        4    |     0 |   0.00%
0000000000000000 0000000000000003   1   |  10   |       4    |        3    |     1 |  25.00%
0000000000000000 0000000000000003   1   |  11   |       4    |        3    |     1 |  25.00%
0000000000000000 0000000000000004   0   |  00   |       4    |        4    |     0 |   0.00%
0000000000000000 0000000000000004   0   |  01   |       4    |        4    |     0 |   0.00%
0000000000000000 0000000000000004   0   |  10   |       4    |        4    |     0 |   0.00%
0000000000000000 0000000000000004   0   |  11   |       4    |        4    |     0 |   0.00%
0000000000000000 0000000000000004   1   |  00   |       5    |        5    |     0 |   0.00%
0000000000000000 0000000000000004   1   |  01   |       5    |        5    |     0 |   0.00%
0000000000000000 0000000000000004   1   |  10   |       5    |        4    |     1 |  20.00%
0000000000000000 0000000000000004   1   |  11   |       5    |        4    |     1 |  20.00%
0000000000000000 0000000000000005   0   |  00   |       5    |        5    |     0 |   0.00%
0000000000000000 0000000000000005   0   |  01   |       5    |        5    |     0 |   0.00%
0000000000000000 0000000000000005   0   |  10   |       5    |        5    |     0 |   0.00%
0000000000000000 0000000000000005   0   |  11   |       5    |        5    |     0 |   0.00%
0000000000000000 0000000000000005   1   |  00   |       6    |        6    |     0 |   0.00%
0000000000000000 0000000000000005   1   |  01   |       6    |        6    |     0 |   0.00%
0000000000000000 0000000000000005   1   |  10   |       6    |        5    |     1 |  16.67%
0000000000000000 0000000000000005   1   |  11   |       6    |        5    |     1 |  16.67%
0000000000000000 0000000000000006   0   |  00   |       6    |        6    |     0 |   0.00%
0000000000000000 0000000000000006   0   |  01   |       6    |        6    |     0 |   0.00%
0000000000000000 0000000000000006   0   |  10   |       6    |        6    |     0 |   0.00%
0000000000000000 0000000000000006   0   |  11   |       6    |        6    |     0 |   0.00%
0000000000000000 0000000000000006   1   |  00   |       7    |        7    |     0 |   0.00%
0000000000000000 0000000000000006   1   |  01   |       7    |        7    |     0 |   0.00%
0000000000000000 0000000000000006   1   |  10   |       7    |        6    |     1 |  14.29%
0000000000000000 0000000000000006   1   |  11   |       7    |        6    |     1 |  14.29%
0000000000000000 0000000000000007   0   |  00   |       7    |        7    |     0 |   0.00%
0000000000000000 0000000000000007   0   |  01   |       7    |        7    |     0 |   0.00%
0000000000000000 0000000000000007   0   |  10   |       7    |        7    |     0 |   0.00%
0000000000000000 0000000000000007   0   |  11   |       7    |        7    |     0 |   0.00%
0000000000000000 0000000000000007   1   |  00   |       8    |        8    |     0 |   0.00%
0000000000000000 0000000000000007   1   |  01   |       8    |        8    |     0 |   0.00%
0000000000000000 0000000000000007   1   |  10   |       8    |        7    |     1 |  12.50%
0000000000000000 0000000000000007   1   |  11   |       8    |        7    |     1 |  12.50%
0000000000000000 0000000000000008   0   |  00   |       8    |        8    |     0 |   0.00%
0000000000000000 0000000000000008   0   |  01   |       8    |        8    |     0 |   0.00%
0000000000000000 0000000000000008   0   |  10   |       8    |        8    |     0 |   0.00%
0000000000000000 0000000000000008   0   |  11   |       8    |        8    |     0 |   0.00%
0000000000000000 0000000000000008   1   |  00   |       9    |        9    |     0 |   0.00%
0000000000000000 0000000000000008   1   |  01   |       9    |        9    |     0 |   0.00%
0000000000000000 0000000000000008   1   |  10   |       9    |        8    |     1 |  11.11%
0000000000000000 0000000000000008   1   |  11   |       9    |        8    |     1 |  11.11%
0000000000000000 0000000000000009   0   |  00   |       9    |        9    |     0 |   0.00%
0000000000000000 0000000000000009   0   |  01   |       9    |        9    |     0 |   0.00%
0000000000000000 0000000000000009   0   |  10   |       9    |        9    |     0 |   0.00%
0000000000000000 0000000000000009   0   |  11   |       9    |        9    |     0 |   0.00%
0000000000000000 0000000000000009   1   |  00   |      10    |       10    |     0 |   0.00%
0000000000000000 0000000000000009   1   |  01   |      10    |       10    |     0 |   0.00%
0000000000000000 0000000000000009   1   |  10   |      10    |        9    |     1 |  10.00%
0000000000000000 0000000000000009   1   |  11   |      10    |        9    |     1 |  10.00%
0000000000000000 000000000000000a   0   |  00   |      10    |       10    |     0 |   0.00%
0000000000000000 000000000000000a   0   |  01   |      10    |       10    |     0 |   0.00%
0000000000000000 000000000000000a   0   |  10   |      10    |       10    |     0 |   0.00%
0000000000000000 000000000000000a   0   |  11   |      10    |       10    |     0 |   0.00%
0000000000000000 000000000000000a   1   |  00   |      11    |       11    |     0 |   0.00%
0000000000000000 000000000000000a   1   |  01   |      11    |       11    |     0 |   0.00%
0000000000000000 000000000000000a   1   |  10   |      11    |       10    |     1 |   9.09%
0000000000000000 000000000000000a   1   |  11   |      11    |       10    |     1 |   9.09%
0000000000000000 000000000000000b   0   |  00   |      11    |       11    |     0 |   0.00%
0000000000000000 000000000000000b   0   |  01   |      11    |       11    |     0 |   0.00%
0000000000000000 000000000000000b   0   |  10   |      11    |       11    |     0 |   0.00%
0000000000000000 000000000000000b   0   |  11   |      11    |       11    |     0 |   0.00%
0000000000000000 000000000000000b   1   |  00   |      12    |       12    |     0 |   0.00%
0000000000000000 000000000000000b   1   |  01   |      12    |       12    |     0 |   0.00%
0000000000000000 000000000000000b   1   |  10   |      12    |       11    |     1 |   8.33%
0000000000000000 000000000000000b   1   |  11   |      12    |       11    |     1 |   8.33%
